user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	aa_percent	translation_table	red_value	warnings
ERR260176_bin.1.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066335	GCA_900066335.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066335	98.05	0.94	GCA_900066335.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066335	98.05	0.94	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_900066205.1, s__Blautia_A sp900066205, 95.0, 93.67, 0.92; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 91.13, 0.87"	61.55	11	N/A	N/A
ERR260176_bin.10.s	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	GCF_000484655.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	98.11	0.93	GCF_000484655.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	98.11	0.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_000285855.2, s__Blautia_A sp000285855, 95.0, 85.36, 0.71; GCF_000153905.1, s__Blautia_A obeum, 95.0, 79.65, 0.36; GCA_900066165.1, s__Blautia_A sp900066165, 95.0, 79.61, 0.35; GCA_900066335.1, s__Blautia_A sp900066335, 95.0, 79.61, 0.39; GCA_900066205.1, s__Blautia_A sp900066205, 95.0, 79.56, 0.36; GCA_900066145.1, s__Blautia_A sp900066145, 95.0, 79.54, 0.35; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 79.53, 0.34; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 79.24, 0.36; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 79.09, 0.37; GCA_000210015.1, s__Blautia_A obeum_B, 95.0, 79.03, 0.33; GCA_900066505.1, s__Blautia_A sp900066505, 95.0, 78.62, 0.32; GCA_000436615.1, s__Blautia_A sp000436615, 95.0, 78.15, 0.33; GCA_900316115.1, s__Blautia_A sp900316115, 95.0, 78.02, 0.27; GCA_000433815.1, s__Blautia_A sp000433815, 95.0, 77.98, 0.26"	74.23	11	N/A	N/A
ERR260176_bin.11.s	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena faecis	GCF_001312505.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena faecis	97.42	0.99	GCF_001312505.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena faecis	97.42	0.99	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	48.99	11	N/A	N/A
ERR260176_bin.5.s	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__Coprococcus_B comes	GCF_000155875.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__Coprococcus_B comes	98.56	0.98	GCF_000155875.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__Coprococcus_B comes	98.56	0.98	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	71.94	11	N/A	N/A
ERR260176_bin.21.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena	GCF_000154065.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena	98.72	0.99	GCF_000154065.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena	98.72	0.99	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_001404875.1, s__Dorea longicatena_B, 95.0, 90.42, 0.95"	50.14	11	N/A	N/A
ERR260176_bin.20.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp900066115	GCA_900066115.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp900066115	98.86	0.95	GCA_900066115.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp900066115	98.86	0.95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_000154245.1, s__Coprococcus sp000154245, 95.0, 94.37, 0.84; GCA_002437435.1, s__Coprococcus sp002437435, 95.0, 90.17, 0.78; GCA_000433075.1, s__Coprococcus sp000433075, 95.0, 78.43, 0.21"	91.49	11	N/A	N/A
ERR260176_bin.14.s	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens	GCF_000188175.1	95	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens	95.72	0.86	GCF_000188175.1	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens	95.72	0.86	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_000434895.1, s__Phascolarctobacterium_A succinatutens_A, 95.0, 95.51, 0.89"	67.86	11	N/A	N/A
ERR260176_bin.13.p	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis_B	GCF_000963275.1	95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis_B	96.21	0.93	GCF_000164675.2	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis	96.05	0.95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	ANI	topological placement and ANI have incongruent species assignments	"GCF_001073155.1, s__Streptococcus parasanguinis_D, 95.0, 95.59, 0.95; GCA_000448565.1, s__Streptococcus sp000448565, 95.0, 95.58, 0.97; GCA_000180035.1, s__Streptococcus parasanguinis_C, 95.0, 95.21, 0.97; GCF_001074805.1, s__Streptococcus parasanguinis_A, 95.0, 94.94, 0.93; GCF_000314795.2, s__Streptococcus sp000314795, 95.0, 91.77, 0.92"	58.93	11	N/A	N/A
ERR260176_bin.17.s	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H reuteri	GCF_000016825.1	95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H reuteri	96.32	0.91	GCF_000016825.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H reuteri	96.32	0.91	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_003072625.1, s__Lactobacillus_H reuteri_D, 95.0, 95.43, 0.9; GCF_900156885.1, s__Lactobacillus_H sp900156885, 95.0, 80.19, 0.43; GCF_002871555.1, s__Lactobacillus_H vaginalis_A, 95.0, 79.66, 0.3; GCF_000159435.1, s__Lactobacillus_H vaginalis, 95.0, 79.65, 0.29; GCF_001436045.1, s__Lactobacillus_H frumenti, 95.0, 79.11, 0.26; GCF_001435935.1, s__Lactobacillus_H panis, 95.0, 78.7, 0.22"	96.27	11	N/A	N/A
ERR260176_bin.8.p	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_F;s__Lactobacillus_F plantarum	GCA_000615325.1	95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_F;s__Lactobacillus_F plantarum	98.91	0.94	GCA_000615325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_F;s__Lactobacillus_F plantarum	98.91	0.94	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_F;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_001435655.1, s__Lactobacillus_F paraplantarum, 95.0, 87.22, 0.82; GCF_001433755.1, s__Lactobacillus_F pentosus, 95.0, 82.26, 0.68; GCF_000463075.2, s__Lactobacillus_F plantarum_A, 95.0, 82.01, 0.66; GCF_001039045.1, s__Lactobacillus_F herbarum, 95.0, 79.66, 0.46; GCF_001438845.1, s__Lactobacillus_F xiangfangensis, 95.0, 79.33, 0.19"	65.6	11	N/A	N/A
ERR260176_bin.26.p	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	GCF_000159355.1	95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	96.2	0.86	GCF_000159355.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	96.2	0.86	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_001436695.1, s__Lactobacillus taiwanensis, 95.0, 87.61, 0.78; GCF_000014425.1, s__Lactobacillus gasseri, 95.0, 85.42, 0.79; GCF_002158885.1, s__Lactobacillus gasseri_A, 95.0, 85.35, 0.81; GCF_001435325.1, s__Lactobacillus intestinalis, 95.0, 80.57, 0.28; GCF_000296835.1, s__Lactobacillus hominis, 95.0, 79.63, 0.4; GCF_001591845.1, s__Lactobacillus acidophilus, 95.0, 78.84, 0.3; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 78.79, 0.24; GCF_000615445.1, s__Lactobacillus hamsteri, 95.0, 78.53, 0.27; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 78.46, 0.25; GCF_000614735.1, s__Lactobacillus gallinarum, 95.0, 78.42, 0.29; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 78.42, 0.29; GCF_001434335.1, s__Lactobacillus kalixensis, 95.0, 78.36, 0.27; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 78.28, 0.27; GCF_002911475.1, s__Lactobacillus sp002911475, 95.0, 78.2, 0.25; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 78.08, 0.26"	72.18	11	N/A	N/A
ERR260176_bin.29.s	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	GCF_000173795.1	95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	97.87	0.91	GCF_000173795.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	97.87	0.91	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_000437715.1, s__Catenibacterium sp000437715, 95.0, 94.34, 0.84"	61.57	11	N/A	N/A
ERR260176_bin.16.p	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GCF_000010425.1	95	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	98.53	0.98	GCF_000010425.1	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	98.53	0.98	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_000770925.1, s__Bifidobacterium ruminantium, 95.0, 88.96, 0.87; GCF_001025195.1, s__Bifidobacterium catenulatum, 96.36, 84.6, 0.8; GCF_001042615.1, s__Bifidobacterium kashiwanohense, 96.36, 84.43, 0.79; GCF_001025215.1, s__Bifidobacterium pseudocatenulatum, 95.0, 84.35, 0.8; GCA_002451435.1, s__Bifidobacterium sp002451435, 95.0, 84.33, 0.74; GCF_002742445.1, s__Bifidobacterium sp002742445, 95.0, 84.23, 0.79; GCF_000800455.1, s__Bifidobacterium kashiwanohense_A, 95.2, 84.01, 0.79; GCF_000522505.1, s__Bifidobacterium moukalabense, 95.0, 83.49, 0.81; GCF_001042595.1, s__Bifidobacterium dentium, 95.0, 83.21, 0.8; GCF_900129045.1, s__Bifidobacterium merycicum, 95.0, 82.44, 0.67; GCF_001025155.1, s__Bifidobacterium angulatum, 95.0, 82.33, 0.59; GCF_002860365.1, s__Bifidobacterium parmae, 95.0, 81.43, 0.64; GCF_000269965.1, s__Bifidobacterium infantis, 95.0, 81.26, 0.62; GCF_000196555.1, s__Bifidobacterium longum, 95.0, 81.18, 0.57; GCF_000741785.1, s__Bifidobacterium stellenboschense, 95.0, 81.15, 0.62; GCF_003129905.1, s__Bifidobacterium callitrichidarum, 95.0, 81.12, 0.61; GCF_001417815.1, s__Bifidobacterium aesculapii, 95.0, 81.1, 0.58; GCF_001895165.1, s__Bifidobacterium lemurum, 95.0, 81.07, 0.61; GCF_000741165.1, s__Bifidobacterium biavatii, 95.0, 81.0, 0.64; GCF_001042635.1, s__Bifidobacterium scardovii, 95.0, 80.98, 0.62; GCF_002259685.1, s__Bifidobacterium eulemuris, 95.0, 80.88, 0.63; GCF_000741215.1, s__Bifidobacterium gallinarum, 95.0, 80.88, 0.54; GCF_003024955.1, s__Bifidobacterium callitrichos_A, 95.0, 80.86, 0.59; GCF_000741175.1, s__Bifidobacterium callitrichos, 95.0, 80.84, 0.61; GCF_002802905.1, s__Bifidobacterium sp002802905, 95.0, 80.81, 0.51; GCF_002802875.1, s__Bifidobacterium sp002802875, 95.0, 80.79, 0.51; GCF_001025175.1, s__Bifidobacterium breve, 95.0, 80.74, 0.52; GCF_002259745.1, s__Bifidobacterium myosotis, 95.0, 80.74, 0.62; GCF_002234915.1, s__Bifidobacterium vansinderenii, 95.0, 80.66, 0.49; GCF_000771405.1, s__Bifidobacterium pullorum, 95.0, 80.65, 0.54; GCF_000741695.1, s__Bifidobacterium reuteri, 95.0, 80.64, 0.54; GCF_001025135.1, s__Bifidobacterium bifidum, 95.0, 80.61, 0.57; GCF_000741715.1, s__Bifidobacterium saguini, 95.0, 80.48, 0.44; GCF_002802915.1, s__Bifidobacterium sp002802915, 95.0, 80.45, 0.49; GCF_002802865.1, s__Bifidobacterium sp002802865, 95.0, 80.42, 0.49; GCF_000741455.1, s__Bifidobacterium thermacidophilum, 95.0, 80.32, 0.48; GCF_002259645.1, s__Bifidobacterium tissieri, 95.0, 80.28, 0.46; GCF_003129925.1, s__Bifidobacterium catulorum, 95.0, 80.2, 0.48; GCF_002860405.1, s__Bifidobacterium imperatoris, 95.0, 80.17, 0.47; GCF_002860355.1, s__Bifidobacterium margollesii, 95.0, 80.04, 0.5; GCA_002298605.1, s__Bifidobacterium sp002298605, 95.0, 79.97, 0.41; GCF_000741495.1, s__Bifidobacterium thermophilum, 95.0, 79.8, 0.45; GCF_000741575.1, s__Bifidobacterium cuniculi, 95.0, 79.73, 0.47; GCF_000741255.1, s__Bifidobacterium magnum, 95.0, 79.71, 0.36; GCF_000741535.1, s__Bifidobacterium boum, 95.0, 79.67, 0.43; GCF_000741135.1, s__Bifidobacterium choerinum, 95.0, 79.63, 0.48; GCF_002286915.1, s__Bifidobacterium italicum, 95.0, 79.6, 0.48; GCF_000741295.1, s__Bifidobacterium pseudolongum_A, 95.0, 79.57, 0.43; GCF_000771225.1, s__Bifidobacterium pseudolongum, 95.0, 79.53, 0.43; GCF_000260715.1, s__Bifidobacterium animalis, 95.0, 79.27, 0.38; GCF_002860345.1, s__Bifidobacterium anseris, 95.0, 79.26, 0.48; GCF_000741285.1, s__Bifidobacterium mongoliense, 95.0, 78.85, 0.35; GCF_000741775.1, s__Bifidobacterium subtile, 95.0, 78.83, 0.43; GCF_000741205.1, s__Bifidobacterium gallicum, 95.0, 78.74, 0.3; GCF_002259755.1, s__Bifidobacterium hapali, 95.0, 78.72, 0.35; GCF_002286935.1, s__Bifidobacterium criceti, 95.0, 78.64, 0.39; GCF_000741645.1, s__Bifidobacterium minimum, 95.0, 77.84, 0.18; GCF_000741525.1, s__Bifidobacterium bohemicum, 95.0, 77.75, 0.16"	78.81	11	N/A	N/A
ERR260176_bin.9.s	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_E;s__Olsenella_E sp003150175	GCA_003150175.1	95	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_E;s__Olsenella_E sp003150175	97.91	0.81	GCA_003150175.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_E;s__Olsenella_E sp003150175	97.91	0.81	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_002440065.1, s__Olsenella_E sp002440065, 95.0, 84.69, 0.56; GCF_002160255.1, s__Olsenella_E sp002160255, 95.0, 82.76, 0.57; GCF_002159735.1, s__Olsenella_E sp002159735, 95.0, 82.66, 0.56; GCF_002159495.1, s__Olsenella_E sp002159495, 95.0, 82.56, 0.58; GCF_900119385.1, s__Olsenella_E mediterranea, 95.0, 82.34, 0.55; GCF_002159535.1, s__Olsenella_E sp002159535, 95.0, 82.32, 0.55; GCA_002305805.1, s__Olsenella_E sp002305805, 95.0, 82.03, 0.52; GCF_900128445.1, s__Olsenella_E provencensis, 95.0, 82.02, 0.56; GCF_900119915.1, s__Olsenella_E sp900119915, 95.0, 81.97, 0.55; GCF_002159625.1, s__Olsenella_E sp002159625, 95.0, 81.96, 0.53"	75.2	11	N/A	N/A
ERR260176_bin.15.o	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp003447235	GCA_003447235.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp003447235	97.97	0.85	GCA_003447235.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp003447235	97.97	0.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_002479145.1, s__Prevotella sp002479145, 95.0, 80.23, 0.57; GCA_900315835.1, s__Prevotella sp900315835, 95.0, 77.19, 0.22"	91.69	11	N/A	N/A
ERR260176_bin.30.s	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	GCF_000157935.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	95.37	0.67	GCF_000157935.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	95.37	0.67	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_002224675.1, s__Prevotella copri_A, 95.0, 86.24, 0.57; GCA_000434515.1, s__Prevotella sp000434515, 95.0, 81.94, 0.36; GCA_002297965.1, s__Prevotella sp002297965, 95.0, 81.7, 0.4; GCA_002440225.1, s__Prevotella sp002440225, 95.0, 81.57, 0.38; GCA_002451555.1, s__Prevotella sp002451555, 95.0, 80.83, 0.37; GCA_900313215.1, s__Prevotella sp900313215, 95.0, 80.43, 0.32; GCA_000436035.1, s__Prevotella sp000436035, 95.0, 80.41, 0.37; GCA_002405875.1, s__Prevotella sp002405875, 95.0, 79.89, 0.28; GCA_002439605.1, s__Prevotella sp002439605, 95.0, 79.33, 0.29"	63.67	11	N/A	N/A
ERR260176_bin.23.s	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000432515	GCA_000432515.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000432515	96.96	0.86	GCA_000432515.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000432515	96.96	0.86	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_000434935.1, s__RC9 sp000434935, 95.0, 83.02, 0.49; GCA_000435075.1, s__RC9 sp000435075, 95.0, 80.62, 0.41"	84.76	11	N/A	N/A
ERR260176_bin.19.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	Placement	taxonomic classification fully defined by topology	"GCA_003487665.1, s__CAG-83 sp003487665, 95.0, 84.82, 0.71; GCA_002438575.1, s__CAG-83 sp002438575, 95.0, 83.06, 0.6; GCA_000435555.1, s__CAG-83 sp000435555, 95.0, 82.91, 0.67; GCA_900317425.1, s__CAG-83 sp900317425, 95.0, 81.64, 0.54; GCA_001916855.1, s__CAG-83 sp001916855, 95.0, 81.26, 0.51; GCA_000431575.1, s__CAG-83 sp000431575, 95.0, 80.93, 0.64; GCA_000435975.1, s__CAG-83 sp000435975, 95.0, 80.83, 0.57; GCA_900313295.1, s__CAG-83 sp900313295, 95.0, 80.81, 0.45; GCA_002392625.1, s__CAG-83 sp002392625, 95.0, 80.55, 0.46; GCA_003539495.1, s__CAG-83 sp003539495, 95.0, 80.37, 0.49; GCA_002309395.1, s__CAG-83 sp002309395, 95.0, 78.32, 0.31"	71.07	11	0.964258019	N/A
ERR260176_bin.4.s	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__	Placement	taxonomic classification fully defined by topology	"GCA_000432375.1, s__CAG-103 sp000432375, 95.0, 90.48, 0.8; GCA_900317855.1, s__CAG-103 sp900317855, 95.0, 90.3, 0.81; GCA_900316745.1, s__CAG-103 sp900316745, 95.0, 80.12, 0.41; GCA_900317905.1, s__CAG-103 sp900317905, 95.0, 78.82, 0.3"	94.37	11	0.986562693	N/A
ERR260176_bin.6.p	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	Placement	taxonomic classification fully defined by topology	N/A	39.78	11	0.99672815	N/A
ERR260176_bin.24.s	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	N/A	N/A	N/A	N/A	N/A	GCA_002391315.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002391315	90.79	0.91	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	Placement	taxonomic classification fully defined by topology	"GCF_001405375.1, s__Collinsella aerofaciens_F, 95.0, 93.39, 0.95; GCF_000763055.1, s__Collinsella sp000763055, 95.0, 93.11, 0.95; GCF_000169035.1, s__Collinsella aerofaciens, 95.0, 92.93, 0.95; GCA_000434535.1, s__Collinsella sp000434535, 95.0, 92.75, 0.9; GCF_002736145.1, s__Collinsella aerofaciens_A, 95.0, 92.72, 0.93; GCF_002232035.1, s__Collinsella sp002232035, 95.0, 92.34, 0.95; GCF_001404695.1, s__Collinsella aerofaciens_E, 95.0, 92.17, 0.93; GCA_003487125.1, s__Collinsella sp003487125, 95.0, 92.13, 0.78; GCA_002437815.1, s__Collinsella sp002437815, 95.0, 81.97, 0.72; GCF_000156215.1, s__Collinsella stercoris, 95.0, 78.98, 0.41; GCA_002305035.1, s__Collinsella sp002305035, 95.0, 78.98, 0.43; GCF_900046475.1, s__Collinsella ihuae, 95.0, 78.58, 0.41; GCF_000225705.1, s__Collinsella tanakaei, 95.0, 77.88, 0.09"	43.97	11	0.995421666	N/A
